Data;Godzina;Generacja Zrodel wiatrowych;Generacja Zrodel fotowoltaicznych
09.11.2021;17;1187,738;15,313
09.11.2021;18;1638,838;0
09.11.2021;19;2117,75;0
09.11.2021;20;2376,875;0
09.11.2021;21;2686,3;0
09.11.2021;22;2965,088;0
09.11.2021;23;3078,225;0
09.11.2021;24;3037,55;0
10.11.2021;1;2938,95;0
10.11.2021;2;3028,325;0
10.11.2021;3;3062,25;0
10.11.2021;4;3206,675;0
10.11.2021;5;3082,238;0
10.11.2021;6;2842;0
10.11.2021;7;2663,038;1,613
10.11.2021;8;2559,375;99,113
10.11.2021;9;2417,588;517,8
10.11.2021;10;1804,825;1092,65
10.11.2021;11;1345,175;1510
10.11.2021;12;1205,3;1703,788
10.11.2021;13;1198,413;1694,088
10.11.2021;14;1092,313;1376,225
10.11.2021;15;903,988;880,6
10.11.2021;16;1098,65;352,888
10.11.2021;17;1531,113;18,575
10.11.2021;18;1876,413;0,1
10.11.2021;19;1945,05;0,088
10.11.2021;20;1983,738;0,075
10.11.2021;21;1957,138;0
10.11.2021;22;1838,113;0
10.11.2021;23;1642,438;0,013
10.11.2021;24;1512,138;0,1
11.11.2021;1;1197,388;0,088
11.11.2021;2;1049,725;0,063
11.11.2021;3;935,863;0,1
11.11.2021;4;840,163;0,1
11.11.2021;5;781,975;0,038
11.11.2021;6;898,3;0,063
11.11.2021;7;1041,713;1,088
11.11.2021;8;1132,45;98,663
11.11.2021;9;1084,35;444,875
11.11.2021;10;923,438;935,138
11.11.2021;11;742,325;1248,225
11.11.2021;12;614,813;1422,788
11.11.2021;13;683,913;1396,325
11.11.2021;14;751,05;1142,3
11.11.2021;15;836,838;728,838
11.11.2021;16;1001,288;278,375
11.11.2021;17;1331,825;18,038
11.11.2021;18;1631,513;0,1
11.11.2021;19;1913,975;0,1
11.11.2021;20;2154,988;0,1
11.11.2021;21;2317,288;0,1
11.11.2021;22;2278,825;0,1
11.11.2021;23;2264,788;0,038
11.11.2021;24;2142,675;0
12.11.2021;1;1943,025;0
12.11.2021;2;1686,125;0
12.11.2021;3;1453,975;0
12.11.2021;4;1264,413;0
12.11.2021;5;999,538;0
12.11.2021;6;767,4;0
12.11.2021;7;630,963;1,425
12.11.2021;8;547,025;50,088
12.11.2021;9;439,425;218,275
12.11.2021;10;309,313;465,5
12.11.2021;11;266,625;693,5
12.11.2021;12;242,3;801,238
12.11.2021;13;149,913;840,288
12.11.2021;14;104,75;691,75
12.11.2021;15;108,225;432,875
12.11.2021;16;152,963;175,863
12.11.2021;17;243,313;11,325
12.11.2021;18;395,388;0
12.11.2021;19;632,413;0
12.11.2021;20;934,175;0
12.11.2021;21;1171,75;0
12.11.2021;22;1326,263;0
12.11.2021;23;1517,713;0
12.11.2021;24;1694,313;0
13.11.2021;1;1651,613;0,05
13.11.2021;2;1592,963;0
13.11.2021;3;1557,888;0
13.11.2021;4;1696;0
13.11.2021;5;1815,213;0
13.11.2021;6;1842,663;0,038
13.11.2021;7;1885,675;0,363
13.11.2021;8;1886,625;67,125
13.11.2021;9;1767,675;228,263
13.11.2021;10;1489,438;562,138
13.11.2021;11;1296,625;840,125
13.11.2021;12;1108,288;938,825
13.11.2021;13;904,513;956,913
13.11.2021;14;870,988;859,75
13.11.2021;15;756,338;479,5
13.11.2021;16;715,613;182,95
13.11.2021;17;740,363;12,488
13.11.2021;18;764,238;0
13.11.2021;19;821,163;0
13.11.2021;20;833,338;0
13.11.2021;21;671,963;0
13.11.2021;22;529,938;0
13.11.2021;23;467,725;0
13.11.2021;24;413,188;0
14.11.2021;1;374,7;0
14.11.2021;2;335,75;0
14.11.2021;3;279,038;0
14.11.2021;4;230;0
14.11.2021;5;204,225;0
14.11.2021;6;189,525;0
14.11.2021;7;185,388;0,238
14.11.2021;8;264,963;53
14.11.2021;9;297,163;179,688
14.11.2021;10;210,013;357,688
14.11.2021;11;183,688;556,788
14.11.2021;12;231,588;579,388
14.11.2021;13;311,113;504,4
14.11.2021;14;432,075;399,725
14.11.2021;15;514,1;253,313
14.11.2021;16;707,45;61,025
14.11.2021;17;753,888;3,35
14.11.2021;18;764,538;0
14.11.2021;19;775,538;0
14.11.2021;20;721,163;0
14.11.2021;21;757,538;0
14.11.2021;22;717,213;0
14.11.2021;23;696,4;0
14.11.2021;24;734,563;0
15.11.2021;1;752,875;0
15.11.2021;2;837,2;0
15.11.2021;3;790,85;0
15.11.2021;4;768,325;0
15.11.2021;5;749,213;0
15.11.2021;6;713,725;0
15.11.2021;7;713,075;0,038
15.11.2021;8;717,088;37,675
15.11.2021;9;693,463;94,1
15.11.2021;10;693,8;225,688
15.11.2021;11;674,438;371,775
15.11.2021;12;638,05;398,325
15.11.2021;13;765,75;409,813
15.11.2021;14;758,125;326,313
15.11.2021;15;747,4;209,213
15.11.2021;16;843,013;74,038
15.11.2021;17;997,163;3,2
15.11.2021;18;1130,35;0
15.11.2021;19;1213,938;0
15.11.2021;20;1189,675;0
15.11.2021;21;1160,2;0
15.11.2021;22;1147,538;0
15.11.2021;23;1061,925;0
15.11.2021;24;1051,938;0
16.11.2021;1;1078,038;0
16.11.2021;2;1036,538;0
16.11.2021;3;934,6;0
16.11.2021;4;860,063;0
16.11.2021;5;823,625;0
16.11.2021;6;760,813;0
16.11.2021;7;717,05;0,3
16.11.2021;8;796,55;67
16.11.2021;9;762,625;224,788
16.11.2021;10;663,05;452,025
16.11.2021;11;629,113;686,913
16.11.2021;12;608,325;842,45
16.11.2021;13;549,625;893,8
16.11.2021;14;513,975;780,575
16.11.2021;15;512,038;504,225
16.11.2021;16;581,375;162,338
16.11.2021;17;674,375;4,463
16.11.2021;18;789,25;0
16.11.2021;19;872,65;0
16.11.2021;20;847,7;0
16.11.2021;21;848,8;0
16.11.2021;22;951,875;0
16.11.2021;23;958,563;0
16.11.2021;24;939,238;0
17.11.2021;1;888,625;0
17.11.2021;2;894,113;0
17.11.2021;3;843,938;0
17.11.2021;4;884,038;0
17.11.2021;5;975,4;0
17.11.2021;6;999,25;0
17.11.2021;7;994,85;0,238
17.11.2021;8;1144,7;64,913
17.11.2021;9;1295,063;235,938
17.11.2021;10;1273,713;404,1
